Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
18 diciembre 2024,Factura,8782,22688,17 enero 2025,24,530907.19,530907.19,530907.19
23 diciembre 2024,Factura,8855,22715,22 enero 2025,19,523874.63,1054781.82,1054781.82
28 enero 2025,Factura,9409,23413,27 febrero 2025,-17,521004.72,1575786.54
