Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
30 diciembre 2024,Factura,8959,22852,29 enero 2025,12,448129.59,448129.59,448129.59
30 diciembre 2024,Factura,8964,23024,29 enero 2025,12,451055.97,899185.56,899185.56
31 enero 2025,Factura,9470,22894,02 marzo 2025,-20,192864.25,1092049.81
