Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
10 diciembre 2024,Factura,8639,22697,09 enero 2025,32,1015516.05,1015516.05,1015516.05
29 enero 2025,Pago,,,,,(300000.00),715516.05,715516.05
09 enero 2025,Factura,9134,23145,08 febrero 2025,2,847867.18,1563383.23,1563383.23
10 enero 2025,Factura,9151,23195,09 febrero 2025,1,844139.98,2407523.21,2407523.21
22 enero 2025,Factura,9314,23306,21 febrero 2025,-11,838805.22,3246328.43
06 febrero 2025,Factura,9583,22974,08 marzo 2025,-26,789305.09,4035633.52
