Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
27 diciembre 2024,Factura,8925,22731,26 enero 2025,15,1108038.60,1108038.60,1108038.60
31 enero 2025,Pago,,,,,(300.00),1107738.60,1107738.60
