Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 02 2024,Factura,8435,22588,Enero 01 2025,35,935169.65,935169.65,935169.65
Enero 22 2025,Pago,,,,,(300000.00),635169.65,635169.65
