Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
20 diciembre 2024,Factura,8824,22720,19 enero 2025,22,966984.70,966984.70,966984.70
26 diciembre 2024,Factura,8919,22271,25 enero 2025,16,1091705.98,2058690.68,2058690.68
20 enero 2025,Factura,9291,22298,19 febrero 2025,-9,855502.13,2914192.81
04 febrero 2025,Factura,9550,23560,06 marzo 2025,-24,808773.25,3722966.06
07 febrero 2025,Factura,9592,23577,09 marzo 2025,-27,800663.61,4523629.67
