Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 06 2024,Factura,8577,21332,Enero 05 2025,31,2011500.00,2011500.00,2011500.00
Diciembre 06 2024,Factura,8575,21328,Enero 05 2025,31,2011500.00,4023000.00,4023000.00
Diciembre 11 2024,Factura,8659,21337,Enero 10 2025,26,2011500.00,6034500.00,6034500.00
Diciembre 13 2024,Factura,8716,21343,Enero 12 2025,24,2011500.00,8046000.00,8046000.00
Diciembre 18 2024,Factura,8788,20975,Enero 17 2025,19,2076300.00,10122300.00,10122300.00
Enero 21 2025,Factura,9304,20963,Febrero 20 2025,-15,2011500.00,12133800.00
