Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 16 2025,Factura,9221,23238,Febrero 15 2025,-10,809340.47,809340.47
Enero 16 2025,Factura,9222,22931,Febrero 15 2025,-10,851063.00,1660403.47
Enero 22 2025,Factura,9326,19402,Febrero 21 2025,-16,1248750.00,2909153.47
Enero 24 2025,Factura,9363,22951,Febrero 23 2025,-18,860953.68,3770107.15
Febrero 03 2025,Factura,9523,22311,Marzo 05 2025,-28,808897.99,4579005.14
Febrero 04 2025,Factura,9554,23555,Marzo 06 2025,-29,837110.45,5416115.59
