Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 11 2024,Factura,8661,21869,Enero 10 2025,26,2006572.50,2006572.50,2006572.50
Enero 22 2025,Factura,9307,23279,Febrero 21 2025,-16,847398.62,2853971.12
