Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
10 enero 2025,Factura,9149,20744,25 enero 2025,16,3211184.87,3211184.87,3211184.87
31 enero 2025,Pago,,,,,(1211184.87),2000000.00,2000000.00
07 febrero 2025,Pago,,,,,(1000000.00),1000000.00,1000000.00
