Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
28 octubre 2024,Factura,7890,21903,27 noviembre 2024,75,450284.85,450284.85,450284.85
30 noviembre 2024,Factura,8401,22586,30 diciembre 2024,42,465166.63,915451.48,915451.48
17 diciembre 2024,Factura,8764,22345,16 enero 2025,25,459853.98,1375305.46,1375305.46
24 enero 2025,Factura,9356,23266,23 febrero 2025,-13,840560.64,2215866.10
29 enero 2025,Factura,9435,23422,28 febrero 2025,-18,814567.77,3030433.87
31 enero 2025,Factura,9468,23432,02 marzo 2025,-20,860381.31,3890815.18
31 enero 2025,Factura,9483,22996,02 marzo 2025,-20,78407.01,3969222.19
04 febrero 2025,Factura,9564,21074,06 marzo 2025,-24,854550.00,4823772.19
04 febrero 2025,Factura,9547,22317,06 marzo 2025,-24,813664.95,5637437.14
10 febrero 2025,Factura,9631,23541,12 marzo 2025,-30,821040.78,6458477.92
