Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 23 2024,Factura,8868,22269,Diciembre 30 2024,37,1147469.92,1147469.92,1147469.92
Diciembre 20 2024,Pago,,,,,(250000.00),897469.92,897469.92
Diciembre 22 2024,Pago,,,,,(50000.00),847469.92,847469.92
Enero 08 2025,Pago,,,,,(50000.00),797469.92,797469.92
Enero 25 2025,Pago,,,,,(130000.00),667469.92,667469.92
Enero 28 2025,Pago,,,,,(50000.00),617469.92,617469.92
Enero 29 2025,Pago,,,,,(50000.00),567469.92,567469.92
