Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 06 2025,Factura,9055,23035,Enero 21 2025,15,886969.97,886969.97,886969.97
Enero 27 2025,Pago,,,,,(217060.58),669909.39,669909.39
Febrero 01 2025,Pago,,,,,(201000.00),468909.39,468909.39
Febrero 04 2025,Pago,,,,,(33050.00),435859.39,435859.39
Enero 10 2025,Factura,9145,23134,Enero 25 2025,11,889303.27,1325162.66,1325162.66
Enero 23 2025,Factura,9343,23317,Febrero 07 2025,-2,824015.01,2149177.67
