Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Noviembre 11 2024,Factura,8088,22163,Diciembre 11 2024,56,909236.37,909236.37,909236.37
Enero 15 2025,Pago,,,,,(150000.00),759236.37,759236.37
Enero 21 2025,Pago,,,,,(100000.00),659236.37,659236.37
Enero 31 2025,Pago,,,,,(500000.00),159236.37,159236.37
Enero 31 2025,Pago,,,,,(40000.00),119236.37,119236.37
Enero 27 2025,Factura,9375,23253,Febrero 26 2025,-21,807714.59,926950.96
