Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
16 enero 2025,Factura,9236,23262,05 febrero 2025,5,896071.45,896071.45,896071.45
20 enero 2025,Factura,9269,23228,09 febrero 2025,1,862371.99,1758443.44,1758443.44
