Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Octubre 26 2024,Factura,7862,20662,Noviembre 25 2024,72,1673938.00,1673938.00,1673938.00
Enero 03 2025,Pago,,,,,(230000.00),1443938.00,1443938.00
Enero 13 2025,Pago,,,,,(400000.00),1043938.00,1043938.00
Enero 17 2025,Pago,,,,,(300000.00),743938.00,743938.00
Enero 24 2025,Pago,,,,,(300000.00),443938.00,443938.00
Enero 31 2025,Pago,,,,,(300000.00),143938.00,143938.00
Enero 24 2025,Factura,9349,23286,Febrero 23 2025,-18,1505691.73,1649629.73
