Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 21 2025,Factura,9300,23325,Enero 21 2025,15,436237.32,436237.32,436237.32
Febrero 05 2025,Factura,9579,23570,Febrero 20 2025,-15,427237.41,863474.73
