Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Noviembre 22 2024,Factura,8258,21016,Diciembre 22 2024,45,2076300.00,2076300.00,2076300.00
Enero 31 2025,Pago,,,,,(200000.00),1876300.00,1876300.00
Noviembre 27 2024,Factura,8326,20500,Diciembre 27 2024,40,1215000.00,3091300.00,3091300.00
Diciembre 04 2024,Factura,8514,21339,Enero 03 2025,33,2157300.00,5248600.00,5248600.00
Diciembre 18 2024,Factura,8785,20982,Enero 17 2025,19,1968300.00,7216900.00,7216900.00
Diciembre 18 2024,Factura,8786,20980,Enero 17 2025,19,2076300.00,9293200.00,9293200.00
Enero 21 2025,Factura,9303,20964,Febrero 20 2025,-15,1984500.00,11277700.00
