Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 27 2024,Factura,8937,20504,Enero 26 2025,10,1221750.00,1221750.00,1221750.00
Enero 20 2025,Factura,9283,22907,Febrero 19 2025,-14,856298.19,2078048.19
