Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 02 2024,Factura,8415,21356,Enero 01 2025,35,1487500.00,1487500.00,1487500.00
Enero 17 2025,Pago,,,,,(487500.00),1000000.00,1000000.00
Enero 22 2025,Pago,,,,,(250000.00),750000.00,750000.00
Diciembre 03 2024,Factura,8454,20960,Enero 02 2025,34,2157300.00,2907300.00,2907300.00
Diciembre 18 2024,Factura,8781,20974,Enero 17 2025,19,2076300.00,4983600.00,4983600.00
Diciembre 18 2024,Factura,8783,20973,Enero 17 2025,19,2076300.00,7059900.00,7059900.00
