Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
03 febrero 2025,Factura,9522,22968,05 marzo 2025,-23,816626.37,816626.37
04 febrero 2025,Factura,9560,23299,06 marzo 2025,-24,923086.56,1739712.93
