Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
05 diciembre 2024,Factura,8530,21957,04 enero 2025,37,1262506.57,1262506.57,1262506.57
10 enero 2025,Pago,,,,,(14.26),1262492.31,1262492.31
15 enero 2025,Pago,,,,,(99400.00),1163092.31,1163092.31
04 febrero 2025,Pago,,,,,(850000.00),313092.31,313092.31
06 diciembre 2024,Factura,8581,21351,05 enero 2025,36,1728000.00,2041092.31,2041092.31
15 enero 2025,Factura,9209,23216,14 febrero 2025,-4,1267515.36,3308607.67
