Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
16 enero 2025,Factura,9239,23084,15 febrero 2025,-5,326124.47,326124.47
16 enero 2025,Nota Credito,,,,,(71226.71),254897.76
24 enero 2025,Factura,9350,23085,23 febrero 2025,-13,176546.31,431444.07
24 enero 2025,Factura,9351,23072,23 febrero 2025,-13,120568.81,552012.88
30 enero 2025,Factura,9448,23073,01 marzo 2025,-19,195668.15,747681.03
30 enero 2025,Factura,9449,23086,01 marzo 2025,-19,148810.67,896491.70
07 febrero 2025,Factura,9612,23074,09 marzo 2025,-27,313958.99,1210450.69
