Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
05 diciembre 2024,Factura,8529,22054,20 diciembre 2024,52,982150.91,982150.91,982150.91
31 diciembre 2024,Factura,8999,21389,15 enero 2025,26,638243.97,1620394.88,1620394.88
