Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 13 2024,Factura,8718,21341,Enero 12 2025,24,2065500.00,2065500.00,2065500.00
Diciembre 13 2024,Factura,8717,21342,Enero 12 2025,24,2065500.00,4131000.00,4131000.00
Enero 23 2025,Factura,9336,21072,Febrero 22 2025,-17,1714500.00,5845500.00
Enero 28 2025,Factura,9422,20966,Febrero 27 2025,-22,2065500.00,7911000.00
