Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 09 2024,Factura,8615,20344,Enero 08 2025,28,2810480.63,2810480.63,2810480.63
Febrero 05 2025,Factura,9580,20968,Marzo 07 2025,-30,2070099.99,4880580.62
