Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
23 diciembre 2024,Factura,8851,22691,22 enero 2025,19,544209.61,544209.61,544209.61
13 enero 2025,Factura,9172,23070,12 febrero 2025,-2,212646.06,756855.67
15 enero 2025,Factura,9203,23264,14 febrero 2025,-4,513020.05,1269875.72
16 enero 2025,Factura,9240,23071,15 febrero 2025,-5,257835.89,1527711.61
16 enero 2025,Nota Credito,,,,,(74927.96),1452783.65
24 enero 2025,Factura,9353,23072,23 febrero 2025,-13,132866.94,1585650.59
24 enero 2025,Nota Credito,,,,,(85985.84),1499664.75
24 enero 2025,Factura,9354,23085,23 febrero 2025,-13,157293.16,1656957.91
