Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 09 2024,Factura,8600,21076,Enero 08 2025,28,1701000.00,1701000.00,1701000.00
Enero 22 2025,Pago,,,,,(432167.66),1268832.34,1268832.34
Diciembre 31 2024,Factura,8988,20345,Enero 30 2025,6,3161390.55,4430222.89,4430222.89
Enero 10 2025,Factura,9153,21577,Febrero 09 2025,-4,2986587.36,7416810.25
