Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 26 2024,Factura,8918,22726,Enero 25 2025,11,953167.46,953167.46,953167.46
Enero 16 2025,Factura,9234,23327,Febrero 15 2025,-10,952074.07,1905241.53
Enero 29 2025,Factura,9434,23329,Febrero 28 2025,-23,977625.26,2882866.79
