Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
16 diciembre 2024,Factura,8737,22258,15 enero 2025,26,1035839.83,1035839.83,1035839.83
02 enero 2025,Factura,9004,23047,01 febrero 2025,9,998761.18,2034601.01,2034601.01
