Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
02 enero 2025,Factura,9029,22424,01 febrero 2025,9,1066262.59,1066262.59,1066262.59
02 enero 2025,Nota Credito,,,,,(11323.14),1054939.45,1054939.45
07 enero 2025,Factura,9083,23067,06 febrero 2025,4,846934.59,1901874.04,1901874.04
09 enero 2025,Factura,9122,23135,08 febrero 2025,2,868524.90,2770398.94,2770398.94
16 enero 2025,Factura,9223,23236,15 febrero 2025,-5,792329.11,3562728.05
28 enero 2025,Factura,9406,23445,27 febrero 2025,-17,800900.39,4363628.44
03 febrero 2025,Factura,9525,23456,05 marzo 2025,-23,824995.01,5188623.45
