Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 09 2024,Factura,8633,20978,Diciembre 24 2024,43,2065500.00,2065500.00,2065500.00
Febrero 04 2025,Pago,,,,,(465500.00),1600000.00,1600000.00
Diciembre 19 2024,Factura,8805,20977,Enero 03 2025,33,2065500.00,3665500.00,3665500.00
Febrero 04 2025,Factura,9557,20972,Febrero 19 2025,-14,1968300.00,5633800.00
